"","id","k","v"
"39504",2954219,"ref","A58;A6120"
"39505",2954221,"highway","trunk"
"39506",2954221,"maxspeed","40mph"
"39507",2954221,"name","Wetherby Road"
"39508",2954221,"oneway","yes"
"39509",2954221,"ref","A58"
"42028",2956848,"highway","residential"
"42029",2956848,"name","Manor View"
"42030",2956850,"highway","residential"
"42031",2956850,"name","Manor Avenue"
"42032",2956851,"highway","residential"
"42033",2956851,"name","Raven Road"
"42034",2956856,"highway","residential"
"42035",2956856,"name","Buckingham Grove"
"42036",2956857,"highway","residential"
"42037",2956857,"name","Buckingham Avenue"
"42038",2956859,"highway","service"
"42039",2956859,"name","Back Buckingham Mount"
"42040",2956861,"highway","residential"
"42041",2956861,"name","Stott Road"
"74384",3689919,"highway","motorway_link"
"74385",3689919,"lit","yes"
"74386",3689919,"maxspeed","70mph"
"74387",3689919,"oneway","yes"
"74388",3689919,"ref","M62"
"74389",3689920,"highway","motorway_link"
"74390",3689920,"lit","no"
"74391",3689920,"maxspeed","70mph"
"74392",3689920,"oneway","yes"
"74393",3689920,"ref","M62"
"79236",3747666,"footway","no"
"79237",3747666,"highway","trunk"
"79238",3747666,"lanes","2"
"79239",3747666,"lit","yes"
"79240",3747666,"maxspeed","30mph"
"79241",3747666,"name","Gelderd Road"
"79242",3747666,"oneway","yes"
"79243",3747666,"ref","A62"
"79244",3747667,"highway","trunk"
"79245",3747667,"lanes","3"
"79246",3747667,"lit","yes"
"79247",3747667,"maxspeed","30mph"
"79248",3747667,"oneway","yes"
"79249",3747667,"ref","A62"
"82747",3805729,"highway","trunk"
"82748",3805729,"junction","roundabout"
"82749",3805729,"lanes","3"
"82750",3805729,"lit","yes"
"82751",3805729,"maxspeed","30mph"
"82752",3805729,"oneway","yes"
"82753",3805729,"ref","A62"
"89270",3978672,"highway","residential"
"89271",3978672,"name","Hyde Park Villas"
"89272",3978674,"highway","service"
"89273",3978674,"name","Midland Passage"
"89274",3978678,"highway","residential"
"89275",3978678,"name","Ebberston Place"
"89276",3978681,"highway","residential"
"89277",3978681,"name","Chestnut Place"
"89278",3978682,"highway","residential"
"89279",3978682,"name","Chestnut Place"
"89280",3978685,"highway","residential"
"89281",3978685,"name","Welton Mount"
"89282",3978686,"highway","service"
"89283",3978686,"name","Back Welton Mount"
"89284",3978688,"highway","residential"
"89285",3978688,"maxspeed","20 mph"
"89286",3978688,"name","Spring Road"
"89287",3978689,"highway","residential"
"89288",3978689,"name","Bainbrigge Road"
"89289",3978690,"highway","residential"
"89290",3978690,"name","Chapel Lane"
"89291",3978690,"surface","cobblestone"
"90080",3981212,"highway","footway"
"90081",3981214,"highway","residential"
"90082",3981214,"name","St. Michael's Crescent"
"90083",3981215,"highway","residential"
"90084",3981215,"name","St Michael's Lane"
"90085",3981215,"oneway","no"
"90086",3981217,"highway","footway"
"90087",3981218,"highway","residential"
"90088",3981218,"name","St. Michael's Road"
"90089",3981219,"highway","residential"
"90090",3981219,"name","Sagar Place"
"90091",3981221,"highway","footway"
"90092",3981221,"name","Granby Close"
"90093",3981222,"highway","residential"
"90094",3981222,"name","Granby Close"
"90095",3981225,"highway","service"
"90096",3981225,"name","Back Granby Grove"
"90097",3981226,"highway","residential"
"90098",3981226,"name","Granby Grove"
"90099",3981227,"highway","residential"
"90100",3981227,"name","Granby Place"
"90101",3981228,"highway","residential"
"90102",3981228,"name","Granby Avenue"
"90103",3981229,"highway","residential"
"90104",3981229,"name","Granby Mount"
"90105",3981230,"highway","residential"
"90106",3981230,"name","Granby Street"
"90107",3981231,"highway","residential"
"90108",3981231,"name","Cross Granby Terrace"
"90109",3981234,"highway","footway"
"90110",3981235,"highway","footway"
"90111",3981236,"highway","residential"
"90112",3981236,"name","St. Michael's Terrace"
"96733",3994353,"highway","residential"
"96734",3994353,"maxspeed","30mph"
"96735",3994353,"name","West Busk Lane"
"96755",3994381,"highway","residential"
"96756",3994381,"name","Weston Lane"
"96757",3994382,"highway","residential"
"96758",3994382,"name","The Oval"
"96806",3994401,"highway","residential"
"96807",3994401,"name","Newall Avenue"
"96808",3994403,"highway","residential"
"96809",3994403,"name","The Crescent"
"96855",3994431,"highway","unclassified"
"96856",3994431,"name","Moor Top"
"96857",3994431,"oneway","yes"
"96858",3994432,"highway","residential"
"96859",3994432,"maxspeed","30mph"
"96860",3994432,"name","Maylea Drive"
"96861",3994462,"highway","residential"
"96862",3994462,"maxspeed","30mph"
"96863",3994462,"name","Duncan Avenue"
"96864",3994463,"highway","residential"
"96865",3994463,"maxspeed","30mph"
"96866",3994463,"name","Caxton Road"
"96867",3994464,"highway","residential"
"96868",3994464,"maxspeed","30mph"
"96869",3994464,"name","Westbourne Grove"
"96870",3994465,"highway","residential"
"96871",3994465,"maxspeed","30mph"
"96872",3994465,"name","Milner Bank"
"96873",3994467,"foot","designated"
"96874",3994467,"highway","footway"
"96875",3994467,"ref","35"
"96876",3994470,"highway","unclassified"
"96877",3994470,"name","York Gate"
"96878",3994473,"foot","designated"
"96879",3994473,"highway","footway"
"96880",3994474,"highway","unclassified"
"96881",3994474,"name","Johnny Lane"
"96882",3994474,"surface","paved"
"96883",3994475,"foot","designated"
"96884",3994475,"highway","footway"
"96885",3994476,"foot","designated"
"96886",3994476,"highway","footway"
"96887",3994477,"foot","designated"
"96888",3994477,"highway","service"
"96889",3994477,"surface","asphalt"
"96890",3994478,"highway","unclassified"
"96891",3994478,"name","Bird Cage Walk"
"96892",3994479,"highway","footway"
"96893",3994481,"highway","unclassified"
"96894",3994481,"lit","yes"
"96895",3994481,"maxspeed","30 mph"
"96896",3994481,"name","Ilkley Road"
"96897",3994481,"oneway","no"
"96898",3994484,"highway","residential"
"96899",3994484,"name","Station Road"
"96900",3994492,"highway","primary"
"96901",3994492,"maxspeed","30mph"
"96902",3994492,"name","Manor Square"
"96903",3994492,"ref","A659"
"96904",3994493,"highway","primary"
"96905",3994493,"lit","yes"
"96906",3994493,"maxspeed","30 mph"
"96907",3994493,"name","Westgate"
"96908",3994493,"ref","A659"
"96909",3994498,"highway","unclassified"
"96910",3994498,"name","Courthouse Street"
"96935",3994518,"highway","residential"
"96936",3994518,"name","Moor Drive"
"96937",3994520,"highway","unclassified"
"96938",3994520,"name","Knotford Nook"
"96939",3994524,"highway","unclassified"
"96940",3994524,"name","Nelson Street"
"97203",3994670,"foot","designated"
"97204",3994670,"highway","footway"
"97205",3994670,"ref","8"
"97206",3994673,"highway","tertiary"
"97207",3994673,"name","Buckle Lane"
"97208",3994674,"highway","unclassified"
"97209",3994674,"maxspeed","40 mph"
"97210",3994674,"name","Chevin End Road"
"97226",3994680,"highway","trunk"
"97227",3994680,"lit","yes"
"97228",3994680,"maxspeed","40 mph"
"97229",3994680,"name","Ilkley Road"
"97230",3994680,"oneway","yes"
"97231",3994680,"ref","A660"
"100774",3998253,"highway","motorway_link"
"100775",3998253,"lanes","2"
"100776",3998253,"lit","yes"
"100777",3998253,"maxspeed","70mph"
"100778",3998253,"oneway","yes"
"100779",3998255,"highway","motorway_link"
"100780",3998255,"lanes","2"
"100781",3998255,"lit","yes"
"100782",3998255,"maxspeed","70mph"
"100783",3998255,"oneway","yes"
"102135",3999869,"highway","motorway_link"
"102136",3999869,"lit","yes"
"102137",3999869,"maxspeed","70 mph"
"102138",3999869,"oneway","yes"
"102139",3999870,"highway","motorway_link"
"102140",3999870,"lanes","2"
"102141",3999870,"lit","no"
"102142",3999870,"maxspeed","70 mph"
"102143",3999870,"oneway","yes"
"102144",3999871,"highway","primary"
"102145",3999871,"lit","yes"
"102146",3999871,"maxspeed","60mph"
"102147",3999871,"name","Wakefield Road"
"102148",3999871,"oneway","yes"
"102149",3999871,"ref","A642"
"102150",3999872,"highway","primary"
"102151",3999872,"lit","yes"
"102152",3999872,"maxspeed","60mph"
"102153",3999872,"name","Wakefield Road"
"102154",3999872,"oneway","yes"
"102155",3999872,"ref","A642"
"102156",3999873,"highway","primary"
"102157",3999873,"maxspeed","40mph"
"102158",3999873,"oneway","yes"
"102159",3999873,"ref","A642"
"102160",3999874,"highway","primary"
"102161",3999874,"maxspeed","40mph"
"102162",3999874,"oneway","yes"
"102163",3999874,"ref","A642"
"102164",3999876,"highway","primary"
"102165",3999876,"maxspeed","40mph"
"102166",3999876,"oneway","yes"
"102167",3999876,"ref","A642"
"102168",3999877,"highway","primary"
"102169",3999877,"maxspeed","40mph"
"102170",3999877,"oneway","yes"
"102171",3999877,"ref","A642"
"102172",3999878,"highway","primary"
"102173",3999878,"junction","roundabout"
"102174",3999878,"lit","yes"
"102175",3999878,"maxspeed","40 mph"
"102176",3999878,"ref","A642"
"102189",3999925,"highway","service"
"102190",3999925,"name","Waterside Road"
"102191",3999926,"highway","unclassified"
"102192",3999926,"name","Skelton Grange Road"
"102193",3999927,"highway","service"
"102194",3999928,"highway","unclassified"
"102195",3999928,"name","Lockside Road"
"102196",3999929,"highway","primary"
"102197",3999929,"maxspeed","40mph"
"102198",3999929,"name","Wakefield Road"
"102199",3999929,"ref","A61"
"102200",3999930,"highway","primary"
"102201",3999930,"junction","roundabout"
"102202",3999930,"lit","yes"
"102203",3999930,"maxspeed","60 mph"
"102204",3999930,"name","Wakefield Road"
"102205",3999930,"ref","A61"
"102206",3999931,"highway","primary"
"102207",3999931,"lit","yes"
"102208",3999931,"maxspeed","70 mph"
"102209",3999931,"oneway","yes"
"102210",3999931,"ref","A61"
"102211",3999934,"highway","tertiary"
"102212",3999934,"name","Queen Street"
"102215",3999941,"highway","service"
"102216",3999942,"highway","motorway_link"
"102217",3999942,"oneway","yes"
"102256",3999965,"highway","primary"
"102257",3999965,"lit","yes"
"102258",3999965,"maxspeed","30mph"
"102259",3999965,"name","Aberford Road"
"102260",3999965,"ref","A642"
"102261",3999966,"highway","trunk"
"102262",3999966,"junction","roundabout"
"102263",3999966,"lit","yes"
"102264",3999966,"maxspeed","40mph"
"102265",3999966,"ref","A6120"
"102266",3999967,"highway","unclassified"
"102267",3999967,"junction","roundabout"
"102268",3999967,"lcn","yes"
"102269",3999967,"name","Century Way"
"102270",3999969,"highway","service"
"102271",3999971,"highway","unclassified"
"102272",3999971,"name","Century Way"
"102273",3999971,"oneway","yes"
"103229",4001184,"highway","primary"
"103230",4001184,"maxspeed","30mph"
"103231",4001184,"name","Market Place"
"103232",4001184,"ref","A659"
"104308",4002495,"highway","tertiary"
"104309",4002495,"maxspeed","30 mph"
"104310",4002495,"name","Cardigan Road"
"105162",4003380,"highway","residential"
"105163",4003380,"name","Alma Cottages"
"105164",4003382,"highway","residential"
"105165",4003382,"name","Chapel Place"
"105166",4003382,"oneway","yes"
"105167",4003383,"highway","service"
"105168",4003383,"name","Chapel Terrace"
"105169",4003385,"highway","residential"
"105170",4003385,"name","Ash Terrace"
"105665",4004378,"highway","residential"
"105666",4004378,"name","Manor Terrace"
"105667",4004379,"highway","secondary"
"105668",4004379,"maxspeed","30mph"
"105669",4004379,"name","North Lane"
"105670",4004379,"ref","B6157"
"105671",4004380,"highway","residential"
"105672",4004380,"name","Chapel Street"
"105673",4004380,"oneway","yes"
"105674",4004381,"highway","service"
"105675",4004381,"name","Grunberg Street"
"105676",4004382,"highway","residential"
"105677",4004382,"name","Bennett Road"
"105678",4004383,"highway","residential"
"105679",4004383,"name","Granby Terrace"
"105680",4004384,"highway","residential"
"105681",4004384,"name","St. Michael's Grove"
"105682",4004385,"highway","residential"
"105683",4004385,"junction","roundabout"
"105684",4004385,"name","Spring Bank Crescent"
"105685",4004386,"highway","tertiary"
"105686",4004386,"name","Victoria Road"
"105687",4004387,"highway","residential"
"105688",4004387,"name","Buckingham Drive"
"105689",4004389,"highway","residential"
"105690",4004389,"name","Chestnut Street"
"105691",4004390,"highway","residential"
"105692",4004390,"name","Chestnut Grove"
"105693",4004391,"highway","residential"
"105694",4004391,"name","Hyde Park Terrace"
"105695",4004392,"highway","residential"
"105696",4004392,"name","Kensington Terrace"
"105697",4004393,"highway","service"
"105698",4004393,"name","Back Kensington Terrace"
"105699",4004394,"highway","residential"
"105700",4004394,"name","Richmond Avenue"
"105701",4004395,"highway","service"
"105702",4004395,"name","Back Manor Drive"
"105703",4004397,"highway","service"
"105704",4004397,"name","Back Richmond Mount"
"105705",4004398,"highway","residential"
"105706",4004398,"name","Richmond Mount"
"105707",4004399,"highway","residential"
"105708",4004399,"name","Richmond Road"
"105709",4004400,"highway","residential"
"105710",4004400,"name","Buckingham Road"
"105711",4004402,"highway","residential"
"105712",4004402,"name","Chestnut Avenue"
"105713",4004404,"highway","residential"
"105714",4004404,"name","Ash Grove"
"105715",4004405,"highway","residential"
"105716",4004405,"name","Ebberston Terrace"
"105717",4004406,"highway","residential"
"105718",4004406,"name","Ebberston Grove"
"105719",4004407,"highway","residential"
"105720",4004407,"name","Midland Road"
"105721",4004408,"highway","residential"
"105722",4004408,"name","Cross Chestnut Grove"
"105723",4004411,"highway","residential"
"105724",4004411,"name","King's Place"
"105725",4004412,"highway","residential"
"105726",4004412,"name","Granby View"
"105727",4004413,"cycleway","lane"
"105728",4004413,"highway","trunk"
"105729",4004413,"lanes","2"
"105730",4004413,"lit","yes"
"105731",4004413,"maxspeed","30 mph"
"105732",4004413,"name","Headingley Lane"
"105733",4004413,"ref","A660"
"105734",4004413,"surface","asphalt"
"105735",4004426,"highway","trunk"
"105736",4004426,"lit","yes"
"105737",4004426,"maxspeed","30 mph"
"105738",4004426,"name","Woodhouse Lane"
"105739",4004426,"oneway","yes"
"105740",4004426,"ref","A660"
"106669",4005501,"highway","residential"
"106670",4005501,"name","Hyde Park Road"
"106708",4005537,"highway","secondary"
"106709",4005537,"name","Jumbles Lane"
"106710",4005537,"ref","B6135"
"106711",4005538,"highway","tertiary"
"106712",4005538,"name","Carlton Lane"
"106713",4005539,"highway","secondary"
"106714",4005539,"maxspeed","30 mph"
"106715",4005539,"name","Long Thorpe Lane"
"106716",4005539,"ref","B6135"
"106717",4005540,"highway","residential"
"106718",4005540,"name","Ramsgate"
"106719",4005541,"highway","residential"
"106720",4005541,"name","Fentonsgate"
"107262",4006151,"highway","primary_link"
"107263",4006151,"junction","roundabout"
"107264",4006151,"maxspeed","30mph"
"107265",4006151,"ref","A62"
"107354",4006233,"highway","unclassified"
"107355",4006233,"maxspeed","30 mph"
"107369",4006240,"foot","yes"
"107370",4006240,"highway","footway"
"108233",4007569,"highway","unclassified"
"108234",4007569,"maxspeed","60 mph"
"108235",4007569,"name","Cemetery Road"
"108236",4007570,"footway","none"
"108237",4007570,"highway","unclassified"
"108238",4007570,"lanes","2"
"108239",4007570,"lit","no"
"108240",4007570,"maxspeed","60 mph"
"108241",4007570,"name","Warren House Lane"
"108242",4007570,"surface","paved"
"108243",4007571,"highway","unclassified"
"108244",4007571,"maxspeed","60 mph"
"108245",4007571,"name","Carlton Lane"
"108246",4007572,"highway","residential"
"108247",4007572,"name","Spen Lane"
"108248",4007573,"highway","residential"
"108249",4007573,"name","Parkstone Avenue"
"108250",4007574,"highway","residential"
"108251",4007574,"name","Iveson Drive"
"108252",4007575,"highway","unclassified"
"108253",4007575,"name","New Adel Lane"
"108254",4007576,"highway","residential"
"108255",4007576,"name","North Parade"
"108256",4007577,"highway","residential"
"108257",4007577,"name","North Avenue"
"108258",4007578,"highway","residential"
"108259",4007578,"name","Riverdale Road"
"108269",4007582,"footway","left"
"108270",4007582,"highway","trunk"
"108271",4007582,"lanes","3"
"108272",4007582,"lit","yes"
"108273",4007582,"maxspeed","40mph"
"108274",4007582,"name","Wellington Road"
"108275",4007582,"oneway","yes"
"108276",4007582,"ref","A58"
"110908",4014510,"highway","primary"
"110909",4014510,"maxspeed","30mph"
"110910",4014510,"name","Pool Road"
"110911",4014510,"ref","A659"
"110952",4014719,"highway","trunk"
"110953",4014719,"lanes","2"
"110954",4014719,"maxspeed","40 mph"
"110955",4014719,"name","Otley Road"
"110956",4014719,"oneway","yes"
"110957",4014719,"ref","A660"
"110987",4014758,"highway","tertiary"
"110988",4014758,"lit","yes"
"110989",4014758,"maxspeed","30 mph"
"110990",4014758,"name","Otley Old Road"
"110991",4014759,"highway","tertiary"
"110992",4014759,"name","Tinshill Road"
"111118",4015039,"highway","primary"
"111119",4015039,"maxspeed","30mph"
"111120",4015039,"name","Piper Lane (Bradford Road)"
"111121",4015039,"ref","A659"
"111122",4015040,"highway","primary"
"111123",4015040,"maxspeed","30 mph"
"111124",4015040,"name","Bradford Road"
"111125",4015040,"ref","A6038"
"111126",4015044,"highway","tertiary"
"111127",4015044,"lit","yes"
"111128",4015044,"maxspeed","30 mph"
"111129",4015044,"name","East Chevin Road"
"112515",4016733,"highway","residential"
"112516",4016733,"name","Norwood Terrace"
"112517",4016734,"highway","service"
"112518",4016734,"name","Back Norwood Terrace"
"112519",4016735,"highway","residential"
"112520",4016735,"name","Norwood View"
"112521",4016736,"highway","residential"
"112522",4016736,"name","Norwood Mount"
"112523",4016737,"highway","service"
"112524",4016737,"name","Back Norwood Road"
"112525",4016738,"highway","residential"
"112526",4016738,"name","Norwood Road"
"112527",4016739,"highway","service"
"112528",4016739,"name","Back Norwood Place"
"112529",4016740,"highway","residential"
"112530",4016740,"name","Norwood Place"
"112531",4016741,"highway","service"
"112532",4016741,"name","Back Norwood Grove"
"112533",4016742,"highway","residential"
"112534",4016742,"name","Norwood Grove"
"112535",4016743,"highway","cycleway"
"112536",4016744,"highway","residential"
"112537",4016744,"name","Winstanley Terrace"
"112538",4016745,"highway","service"
"112539",4016745,"name","Back Winstanley Terrace"
"112540",4016746,"highway","residential"
"112541",4016746,"name","Victoria Court Mews"
"112542",4016747,"highway","residential"
"112543",4016747,"name","School View"
"112544",4016748,"highway","service"
"112545",4016748,"name","Back School View"
"112546",4016749,"highway","residential"
"112547",4016749,"name","Welton Place"
"112548",4016750,"highway","service"
"112549",4016750,"name","Back Welton Place"
"112550",4016751,"highway","residential"
"112551",4016751,"name","Welton Grove"
"112552",4016752,"highway","service"
"112553",4016752,"name","Back Welton Grove"
"112554",4016760,"highway","service"
"112555",4016760,"name","Back Mayville Terrace"
"112556",4016763,"highway","residential"
"112557",4016763,"name","Hessle Avenue"
"112558",4016764,"highway","residential"
"112559",4016764,"name","Hessle Place"
"112832",4017430,"highway","trunk"
"112833",4017430,"junction","roundabout"
"112834",4017430,"lit","yes"
"112835",4017430,"maxspeed","40 mph"
"112836",4017430,"name","Leeds Road"
"112837",4017430,"ref","A660"
"112838",4017431,"highway","trunk"
"112839",4017431,"lit","yes"
"112840",4017431,"maxspeed","40 mph"
"112841",4017431,"name","Leeds Road"
"112842",4017431,"oneway","yes"
"112843",4017431,"ref","A660"
"112844",4017432,"highway","trunk"
"112845",4017432,"lit","yes"
"112846",4017432,"maxspeed","40 mph"
"112847",4017432,"name","Leeds Road"
"112848",4017432,"ref","A660"
"112849",4017433,"highway","trunk"
"112850",4017433,"lit","yes"
"112851",4017433,"maxspeed","30 mph"
"112852",4017433,"name","Leeds Road"
"112853",4017433,"oneway","yes"
"112854",4017433,"ref","A660"
"112855",4017435,"highway","unclassified"
"112856",4017435,"name","King's Road"
"112857",4017435,"oneway","yes"
"112858",4017437,"highway","tertiary"
"112859",4017437,"name","King Lane"
"112860",4017438,"highway","tertiary"
"112861",4017438,"name","King Lane"
"113426",4017812,"highway","service"
"113427",4017812,"name","Back Ashville Road"
"113428",4017813,"highway","residential"
"113429",4017813,"name","Ashville Terrace"
"113430",4017814,"highway","residential"
"113431",4017814,"name","Ashville Grove"
"113432",4017815,"highway","service"
"113433",4017815,"name","Back Ashville Terrace"
"113434",4017816,"highway","residential"
"113435",4017816,"name","Back Ashville Grove"
"113436",4017817,"highway","residential"
"113437",4017817,"name","Ashville Avenue"
"113438",4017818,"highway","residential"
"113439",4017818,"name","Back Ashville Avenue"
"113440",4017820,"highway","residential"
"113441",4017820,"name","Mayville Terrace"
"113442",4017821,"highway","service"
"113443",4017821,"name","Back Mayville Street"
"113444",4017822,"highway","residential"
"113445",4017822,"name","Mayville Street"
"113446",4017823,"highway","residential"
"113447",4017823,"name","Mayville Place"
"113448",4017824,"highway","service"
"113449",4017824,"name","Back Mayville Place"
"113450",4017825,"highway","service"
"113451",4017825,"name","Back Walmsley Road"
"113452",4017826,"highway","residential"
"113453",4017826,"name","Mayville Avenue"
"113454",4017827,"highway","residential"
"113455",4017827,"name","Back Mayville Avenue"
"113456",4017828,"highway","residential"
"113457",4017828,"name","Ashville View"
"113458",4017829,"highway","tertiary"
"113459",4017829,"name","Brudenell Road"
"113460",4017830,"highway","residential"
"113461",4017830,"name","Hessle Street"
"113462",4017831,"highway","residential"
"113463",4017831,"name","Hessle Walk"
"113464",4017832,"highway","residential"
"113465",4017832,"name","Hessle Road"
"113466",4017833,"highway","service"
"113467",4017833,"name","Back Hessle Avenue"
"113468",4017835,"highway","service"
"113469",4017835,"name","Back Hessle Terrace"
"113470",4017836,"highway","residential"
"113471",4017836,"name","Hessle Mount"
"113472",4017837,"highway","service"
"113473",4017837,"name","Back Hessle Mount"
"113474",4017838,"highway","residential"
"113475",4017838,"name","Hessle View"
"113476",4017839,"highway","service"
"113477",4017839,"name","Back Hessle View"
"113478",4017847,"highway","residential"
"113479",4017847,"name","Walmsley Road"
"113480",4017848,"highway","residential"
"113481",4017848,"name","Cardigan Lane"
"113482",4017849,"highway","residential"
"113483",4017849,"name","Welton Road"
"113484",4017905,"highway","residential"
"113485",4017905,"name","Mayville Road"
"113949",4018926,"highway","secondary"
"113950",4018926,"name","Green Lane"
"113951",4018926,"ref","B6135"
"113952",4018927,"highway","tertiary"
"113953",4018927,"name","Cemetery Lane"
"113954",4018928,"highway","secondary"
"113955",4018928,"name","Ouzlewell Green"
"113956",4018928,"ref","B6135"
"113957",4018929,"highway","tertiary"
"113958",4018929,"name","Ouzlewell Green"
"113959",4018930,"highway","tertiary"
"113960",4018930,"name","Westfield Road"
"113961",4018932,"highway","tertiary"
"113962",4018932,"name","Queen Street"
"114430",4019403,"highway","residential"
"114431",4019403,"name","Blue Hill Lane"
"114432",4019404,"highway","residential"
"114433",4019404,"name","Fawcett Lane"
"114524",4019598,"highway","residential"
"114525",4019598,"name","Amberley Road"
"114526",4019600,"highway","primary"
"114527",4019600,"lanes","1"
"114528",4019600,"lit","yes"
"114529",4019600,"maxspeed","40 mph"
"114530",4019600,"name","Wortley Lane"
"114531",4019600,"oneway","yes"
"114532",4019600,"ref","A58"
"114533",4019602,"highway","tertiary"
"114534",4019602,"maxspeed","30mph"
"114535",4019602,"name","Globe Road"
"114536",4019603,"highway","primary"
"114537",4019603,"lit","yes"
"114538",4019603,"maxspeed","30mph"
"114539",4019603,"name","Domestic Road"
"114540",4019603,"oneway","yes"
"114541",4019604,"highway","primary"
"114542",4019604,"lanes","2"
"114543",4019604,"lit","yes"
"114544",4019604,"maxspeed","30mph"
"114545",4019604,"name","Domestic Road"
"114546",4019604,"oneway","yes"
"114547",4019604,"ref","A58"
"115016",4020253,"highway","residential"
"115017",4020253,"name","Green Hill Lane"
"115018",4020254,"highway","residential"
"115019",4020254,"name","Leysholme Drive"
"115020",4020255,"highway","residential"
"115021",4020255,"name","Upper Wortley Road"
"115022",4020256,"highway","tertiary"
"115023",4020256,"name","Stonebridge Lane"
"115024",4020257,"highway","tertiary"
"115025",4020257,"name","Wortley Moor Road"
"115968",4031804,"highway","residential"
"115969",4031804,"name","Ryedale Avenue"
"115970",4032181,"highway","unclassified"
"115971",4032181,"name","Springwell Road"
"115972",4032182,"highway","unclassified"
"115973",4032182,"name","Marshall Street"
"116081",4036978,"highway","residential"
"116082",4036978,"name","Barras Garth Road"
"116083",4036979,"highway","residential"
"116084",4036979,"name","Thornhill Croft"
"116085",4036980,"highway","residential"
"116086",4036980,"name","Green Hill Gardens"
"120116",4044366,"highway","residential"
"120117",4044366,"name","Wesley Road"
"120118",4044367,"highway","residential"
"120119",4044367,"name","Carr Crofts"
"120356",4044668,"highway","residential"
"120357",4044668,"name","Old Field Lane"
"120358",4044669,"highway","residential"
"120359",4044669,"name","Windmill Court"
"120360",4044670,"highway","residential"
"120361",4044670,"name","Lynwood Crescent"
"120362",4044673,"highway","residential"
"120363",4044673,"name","Green Hill Croft"
"120364",4044683,"highway","residential"
"120365",4044683,"name","Leysholme Crescent"
"120366",4044687,"highway","residential"
"120367",4044687,"name","Cross Lane"
"120975",4045208,"highway","tertiary"
"120976",4045208,"name","Butt Lane"
"121222",4045460,"highway","primary"
"121223",4045460,"maxspeed","30 mph"
"121224",4045460,"name","Arthington Lane"
"121225",4045460,"ref","A659"
"121226",4045462,"highway","primary"
"121227",4045462,"maxspeed","60mph"
"121228",4045462,"name","Otley Road"
"121229",4045462,"ref","A659"
"121230",4045463,"access","permissive"
"121231",4045463,"highway","service"
"121279",4045653,"highway","primary"
"121280",4045653,"maxspeed","30 mph"
"121281",4045653,"name","Cross Green"
"121282",4045653,"ref","A659"
"122864",4048918,"highway","primary"
"122865",4048918,"maxspeed","40mph"
"122866",4048918,"name","Wakefield Road"
"122867",4048918,"ref","A642"
"123051",4049006,"highway","unclassified"
"123052",4049006,"name","Bullerthorpe Lane"
"123053",4049013,"highway","trunk"
"123054",4049013,"lit","s"
"123055",4049013,"maxspeed","40mph"
"123056",4049013,"name","Selby Road"
"123057",4049013,"oneway","yes"
"123058",4049013,"ref","A6120"
"123199",4049155,"highway","residential"
"123200",4049155,"name","Thornville Road"
"123201",4049156,"highway","tertiary"
"123202",4049156,"name","The Headrow"
"123203",4049156,"oneway","yes"
"123204",4049157,"highway","tertiary"
"123205",4049157,"name","Eastgate"
"123206",4049157,"oneway","yes"
"124129",4054412,"highway","tertiary"
"124130",4054412,"name","Branch Road"
"124131",4054412,"oneway","yes"
